v,vw,o,c,h,l,t,n
33299.148604,716.3624,716.268,716.402,716.45,716.22,1789142160000,1797
26007.389599,716.6028,716.44,716.5,716.7,716.435,1789142220000,1881
54855.680519,716.5024,716.52,716.63,716.63,716.39,1789142280000,2062
20473.509564,716.5417,716.59,716.46,716.61,716.44,1789142340000,1780
27033.194337,716.6159,716.46,716.575,716.75,716.45,1789142400000,1954
31571.364148,716.8409,716.57,716.92,716.96,716.57,1789142460000,1803
21753.262314,716.9715,716.91,717.145,717.145,716.85,1789142520000,1957
25261.527545,717.0798,717.12,716.8455,717.2,716.84,1789142580000,1787
25577.27275,717.0823,716.845,717.185,717.19,716.84,1789142640000,1862
23683.933815,717.2396,717.19,717.2,717.26,717.17,1789142700000,1816
16262.49816,717.1776,717.215,717.14,717.24,717.06,1789142760000,1760
27318.08238,716.9604,717.1,716.81,717.12,716.81,1789142820000,1816
22544.691464,716.7917,716.795,716.785,716.885,716.67,1789142880000,1809
10750.019573,716.8423,716.77,716.8901,716.94,716.75,1789142940000,1716
17584.72342,716.9163,716.89,716.73,716.97,716.7,1789143000000,1836
9154.22852,716.7973,716.732,716.8,716.84,716.73,1789143060000,1722
17605.213302,716.6985,716.78,716.63,716.78,716.59,1789143120000,1797
35435.22136,716.4655,716.64,716.3414,716.64,716.3414,1789143180000,1990
15635.276546,716.393,716.34,716.375,716.43,716.32,1789143240000,680
24701.669258,716.3591,716.35,716.3,716.46,716.25,1789143300000,405
38255.761847,716.2013,716.28,716.145,716.34,716.11,1789143360000,610
33639.408439,716.2349,716.14,716.13,716.3199,716.12,1789143420000,609
23590.917362,716.1678,716.12,716.12,716.26,716.05,1789143480000,521
21937.644783,716.1827,716.14,716.15,716.29,716.08,1789143540000,390
63954.573194,716.1497,716.165,715.9505,716.25,715.95,1789143600000,780
51066.860547,716.0654,715.95,716.0024,716.12,715.95,1789143660000,610
34948.088728,715.8588,715.99,715.86,716.002,715.8,1789143720000,737
22210.793557,715.8654,715.86,715.87,715.945,715.77,1789143780000,534
25733.412328,715.8487,715.85,715.85,715.92,715.79,1789143840000,417
39539.309079,715.9363,715.875,715.8094,716.02,715.79,1789143900000,624
25837.343858,715.8364,715.815,715.79,715.95,715.76,1789143960000,447
34713.785243,715.9785,715.79,715.96,716.09,715.78,1789144020000,678
33436.340398,716.0019,715.9744,716.0399,716.1,715.9373,1789144080000,442
221918.705394,715.6275,716.0,715.25,716.04,715.18,1789144140000,3201
107067.886322,715.3726,715.2763,715.61,715.65,715.1,1789144200000,1473
29619.766275,715.5112,715.639,715.43,715.639,715.39,1789144260000,624
73129.397611,715.5929,715.46,715.67,715.74,715.23,1789144320000,1080
